id	indexname	unit	year
n74	製造品出荷額等（従業者１人当たり）	万円	2012
n75	製造品出荷額等（１事業所当たり）	百万円	2012
n76	商業年間商品販売額［卸売業＋小売業］（従業者１人当たり）	万円	2011
n77	商業年間商品販売額［卸売業＋小売業］（事業所当たり）	百万円	2011
n78	国内銀行預金残高（人口１人当たり）	万円	2013
n79	郵便貯金残高（人口１人当たり）	万円	2013
n80	全国物価地域差指数［総合］	－	2007
n81	全国物価地域差指数［総合］（家賃を除く）	－	2007
n82	全国物価地域差指数［食料］	－	2007
n83	全国物価地域差指数［住居］	－	2007
n84	全国物価地域差指数［光熱・水道］	－	2007
n85	全国物価地域差指数［家具・家事用品］	－	2007
n86	全国物価地域差指数［被服及び履物］	－	2007
n87	全国物価地域差指数［保健医療］	－	2007
n88	全国物価地域差指数［交通・通信］	－	2007
n89	全国物価地域差指数［教育］	－	2007
n90	全国物価地域差指数［教養娯楽］	－	2007
n91	消費者物価地域差指数［総合：51市平均＝100］	－	2013
n92	消費者物価地域差指数［食料：51市平均＝100］	－	2013
n93	標準価格対前年平均変動率［住宅地］	％	2013
n94	財政力指数［県財政］	－	2012
n95	実質収支比率［県財政］	％	2012
n96	地方債現在高の割合（対歳出決算総額）［県財政］	％	2012
n97	経常収支比率［県財政］	％	2012
n98	自主財源の割合（対歳出決算総額）［県財政］	％	2012
n99	一般財源の割合（対歳出決算総額）［県財政］	％	2012
n100	投資的経費の割合（対歳出決算総額）［県財政］	％	2012
n101	地方税割合（対歳入決算総額）［県財政］	％	2012
n102	地方交付税割合（対歳入決算総額）［県財政］	％	2012
n103	国庫支出金割合（対歳入決算総額）［県財政］	％	2012
n104	住民税（人口１人当たり）［県・市町村財政合計］	千円	2012
n105	固定資産税（人口１人当たり）［県・市町村財政合計］	千円	2012
n106	課税対象所得（納税義務者１人当たり）	千円	2013
n107	民生費割合（対歳出決算総額）［県財政］	％	2012
n108	社会福祉費割合（対歳出決算総額）［県財政］	％	2012
n109	老人福祉費割合（対歳出決算総額）［県財政］	％	2012
n110	児童福祉費割合（対歳出決算総額）［県財政］	％	2012
n111	生活保護費割合（対歳出決算総額）［県財政］	％	2012
n112	衛生費割合（対歳出決算総額）［県財政］	％	2012
n113	労働費割合（対歳出決算総額）［県財政］	％	2012
n114	農林水産業費割合（対歳出決算総額）［県財政］	％	2012
n115	商工費割合（対歳出決算総額）［県財政］	％	2012
n116	土木費割合（対歳出決算総額）［県財政］	％	2012
n117	警察費割合（対歳出決算総額）［県財政］	％	2012
n118	消防費割合（対歳出決算総額）［市町村財政］<都分含む>	％	2012
n119	教育費割合（対歳出決算総額）［県財政］	％	2012
n120	災害復旧費割合（対歳出決算総額）［県財政］	％	2012
n121	人件費割合（対歳出決算総額）［県財政］	％	2012
n122	扶助費割合（対歳出決算総額）［県財政］	％	2012
n123	普通建設事業費割合（対歳出決算総額）［県財政］	％	2012
n124	歳出決算総額（人口１人当たり）［県・市町村財政合計］	千円	2012
n125	民生費（人口１人当たり）［県・市町村財政合計］	千円	2012
n126	社会福祉費（人口１人当たり）［県・市町村財政合計］	千円	2012
n127	老人福祉費（65歳以上人口１人当たり）［県・市町村財政合計］	千円	2012
n128	児童福祉費（17歳以下人口１人当たり）［県・市町村財政合計］	千円	2012
n129	生活保護費（被保護実人員１人当たり）［県・市町村財政合計］	千円	2012
n130	衛生費（人口１人当たり）［県・市町村財政合計］	千円	2012
n131	土木費（人口１人当たり）［県・市町村財政合計］	千円	2012
n132	警察費（人口１人当たり）［県財政］	千円	2012
n133	消防費（人口１人当たり）［都・市町村財政合計］	千円	2012
n134	教育費（人口１人当たり）［県・市町村財政合計］	千円	2012
n135	社会教育費（人口１人当たり）［県・市町村財政合計］	千円	2012
n136	災害復旧費（人口１人当たり）［県・市町村財政合計］	千円	2012
n137	公立小学校費（児童１人当たり）［県・市町村財政合計］	千円	2012
n138	公立中学校費（生徒１人当たり）［県・市町村財政合計］	千円	2012
n139	公立高等学校費（生徒１人当たり）［県・市町村財政合計］	千円	2012
n140	特殊学校費<公立>（児童・生徒１人当たり）［県・市町村財政合計］	千円	2012
n141	幼稚園費（児童１人当たり）［県・市町村財政合計］	千円	2012
n142	小学校数（６～11歳人口10万人当たり）	校	2013
n143	中学校数（12～14歳人口10万人当たり）	校	2013
n144	高等学校数（15～17歳人口10万人当たり）	校	2013
n145	幼稚園数（３～５歳人口10万人当たり）	園	2013
n146	保育所数（０～５歳人口10万人当たり）	所	2012
n147	小学校数（可住地面積100k㎡当たり）	校	2013
n148	中学校数（可住地面積100k㎡当たり）	校	2013
n149	高等学校数（可住地面積100k㎡当たり）	校	2013
n150	小学校女子教員割合（対小学校教員数）	％	2013
n151	中学校女子教員割合（対中学校教員数）	％	2013
n152	小学校児童数（小学校教員１人当たり）	人	2013
n153	中学校生徒数（中学校教員１人当たり）	人	2013
n154	高等学校生徒数（高等学校教員１人当たり）	人	2013
n155	幼稚園在園者数（幼稚園教員１人当たり）	人	2013
n156	保育所在所児数（保育所保育士１人当たり）	人	2012
n157	公立高等学校生徒比率（対高等学校生徒数）	％	2013
n158	公立幼稚園在園者比率（対幼稚園在園者数）	％	2013
n159	公営保育所在所児比率（対保育所在所児数）	％	2012
n160	小学校児童数（１学級当たり）	人	2013
n161	中学校生徒数（１学級当たり）	人	2013
n162	幼稚園教育普及度（幼稚園修了者数／小学校児童数（第１学年児童数））	％	2012
n163	保育所教育普及度（保育所修了者数／小学校児童数（第１学年児童数））	％	2012
n164	不登校による小学校長期欠席児童比率（児童千人当たり）１）	－	2012
n165	不登校による中学校長期欠席生徒比率（生徒千人当たり）１）	－	2012
n166	中学校卒業者の進学率	％	2012
n167	高等学校卒業者の進学率	％	2012
n168	大学数（人口10万人当たり）	校	2013
n169	出身高校所在地県の大学への入学者割合（対大学入学者数）	％	2013
n170	大学収容力指数（高卒者のうち大学進学者数）	－	2013
n171	短期大学数（人口10万人当たり）	校	2013
n172	専修学校数（人口10万人当たり）	校	2013
n173	各種学校数（人口10万人当たり）	校	2013
n174	最終学歴が小学・中学卒の者の割合（対卒業者総数）	％	2010
n175	最終学歴が高校・旧中卒の者の割合（対卒業者総数）	％	2010
n176	最終学歴が短大・高専卒の者の割合（対卒業者総数）	％	2010
n177	最終学歴が大学・大学院卒の者の割合（対卒業者総数）	％	2010
n178	小学校教育費（児童１人当たり）	円	2011
n179	中学校教育費（生徒１人当たり）	円	2011
n180	高等学校教育費［全日制］（生徒１人当たり）	円	2011
n181	幼稚園教育費（在園者１人当たり）	円	2011
n182	労働力人口比率（対15歳以上人口）［男］	％	2010
n183	労働力人口比率（対15歳以上人口）［女］	％	2010
n184	第１次産業就業者比率（対就業者）	％	2010
n185	第２次産業就業者比率（対就業者）	％	2010
n186	第３次産業就業者比率（対就業者）	％	2010
n187	完全失業率（完全失業者数／労働力人口）	％	2010
n188	雇用者比率（雇用者数／就業者）	％	2010
n189	県内就業者比率（対就業者）	％	2010
n190	他市区町村への通勤者比率（対就業者）	％	2010
n191	他市区町村からの通勤者比率（対就業者）	％	2010
n192	就職率（就職件数／求職者数）	％	2012
n193	有効求人倍率（求人数／求職者数）	倍	2012
n194	充足率（就職件数／求人数）	％	2012
n195	パートタイム就職率［常用］（就職件数／求職者数）	％	2012
n196	中高年齢者就職率［45歳以上］（就職件数／求職者数）	％	2012
n197	中高年齢者就職者比率［45歳以上］（対就職件数）	％	2012
n198	高齢就業者割合［65歳以上］（対老年人口）	％	2010
n199	高齢一般労働者割合［65歳以上］（対老年人口）	％	2013
n200	身体障害者就職者比率（対就職件数千件当たり）	－	2012
n201	高卒者に占める就職者の割合（対高卒者数）	％	2012
n202	高卒者に占める県外就職者の割合（対高卒就職者数）	％	2012
n203	高等学校新規卒業者の求人倍率（対新規高卒者求職者数）	倍	2012
n204	大学卒業者に占める就職者の割合（対大学卒業者数）	％	2012
n205	大学新規卒業者の無業者率（対大学卒業者数）	％	2012
n206	転職率（転職者数／有業者数）	％	2012
n207	離職率（離職者数／（継続就業者数＋転職者数＋離職者数））	％	2012
n208	新規就業率（新規就業者数／有業者数）	％	2012
n209	就業異動率（（転職者数+離職者数+新規就業者数）/15歳以上人口）	％	2012
n210	実労働時間数（月間）［男］	時間	2013
n211	実労働時間数（月間）［女］	時間	2013
n212	男性パートタイムの給与（１時間当たり）	円	2013
n213	女性パートタイムの給与（１時間当たり）	円	2013
n214	男性パートタイム労働者数	人	2013
n215	女性パートタイム労働者数	人	2013
n216	高等学校新規卒業者初任給（月額）［男］	千円	2013
n217	高等学校新規卒業者初任給（月額）［女］	千円	2013
n218	公民館数（人口100万人当たり）	館	2011
n219	図書館数（人口100万人当たり）	館	2011
n220	博物館数（人口100万人当たり）	館	2011
n221	青少年教育施設数（人口100万人当たり）	所	2011
n222	常設映画館数（人口100万人当たり）	館	2012
n223	社会体育施設数（人口100万人当たり）	施設	2011
n224	多目的運動広場数（人口100万人当たり）	施設	2011
n225	青少年学級・講座数（人口100万人当たり）	学級･講座	2010
n226	成人一般学級・講座数（人口100万人当たり）	学級･講座	2010
n227	女性学級・講座数（女性人口100万人当たり）	学級･講座	2010
n228	高齢者学級・講座数（人口100万人当たり）	学級･講座	2010
n229	ボランティア活動の年間行動者率（10歳以上）	％	2011
n230	スポーツの年間行動者率（10歳以上）	％	2011
n231	旅行・行楽の年間行動者率（10歳以上）	％	2011
n232	海外旅行の年間行動者率（10歳以上）	％	2011
n233	客室稼働率	％	2013
n234	一般旅券発行件数（人口千人当たり）	件	2013
n235	着工新設住宅比率（対居住世帯あり住宅数）	％	2012
n236	持ち家比率（対居住世帯あり住宅数）	％	2008
n237	借家比率（対居住世帯あり住宅数）	％	2008
n238	民営借家比率（対居住世帯あり住宅数）	％	2008
n239	空き家比率（対総住宅数）	％	2008
n240	着工新設持ち家比率（対着工新設住宅戸数）	％	2012
n241	着工新設貸家比率（対着工新設住宅戸数）	％	2012
n242	一戸建住宅比率（対居住世帯あり住宅数）	％	2008
n243	共同住宅比率（対居住世帯あり住宅数）	％	2008
n244	住宅の敷地面積（１住宅当たり）	㎡	2008
n245	持ち家住宅の延べ面積（１住宅当たり）	㎡	2008
n246	借家住宅の延べ面積（１住宅当たり）	㎡	2008
n247	持ち家住宅の畳数（１住宅当たり）	畳	2008
n248	借家住宅の畳数（１住宅当たり）	畳	2008
n249	着工新設持ち家住宅の床面積（１住宅当たり）	㎡	2012
n250	着工新設貸家住宅の床面積（１住宅当たり）	㎡	2012
n251	居住室数（１住宅当たり）＜持ち家＞	室	2008
n252	居住室数（１住宅当たり）＜借家＞	室	2008
n253	持ち家住宅の畳数（１人当たり）	畳	2008
n254	借家住宅の畳数（１人当たり）	畳	2008
n255	水洗トイレのある住宅比率（対居住世帯あり住宅数）	％	2008
n256	浴室のある住宅比率（対居住世帯あり住宅数）	％	2008
n257	最低居住面積水準以上世帯割合	％	2008
n258	家計を主に支える者が雇用者である普通世帯比率［通勤時間90分以上］１）	－	2008
n259	公営賃貸住宅の家賃（１か月3.3㎡当たり）	円	2013
n260	民営賃貸住宅の家賃（１か月3.3㎡当たり）	円	2013
n261	着工居住用建築物工事費予定額（床面積１㎡当たり）	千円	2012
n262	都市ガス供給区域内世帯比率（対一般世帯数）	％	2012
n263	都市ガス販売量	万MJ	2012
n264	ガソリン販売量	kl	2013
n265	上水道給水人口比率	％	2012
n266	下水道普及率	％	2012
n267	し尿処理人口比率	％	2012
n268	ごみのリサイクル率	％	2012
n269	ごみ埋立率	％	2012
n270	最終処分場残余容量	千ｍ3	2012
n271	小売店数（人口千人当たり）	店	2011
n272	大型小売店数（人口10万人当たり）	店	2011
n273	百貨店，総合スーパー数（人口10万人当たり）	店	2011
n274	セルフサービス事業所数（人口10万人当たり）	所	2011
n275	コンビニエンスストア数（人口10万人当たり）	所	2011
n276	飲食店数（人口千人当たり）	店	2011
n277	理容・美容所数（人口10万人当たり）	所	2012
n278	クリーニング所数（人口10万人当たり）	所	2012
n279	公衆浴場数（人口10万人当たり）	所	2012
n280	郵便局数（可住地面積100k㎡当たり）	局	2013
n281	住宅用電話加入数（人口千人当たり）	加入	2013
n282	携帯電話契約数（人口千人当たり）	契約	2012
n283	道路実延長（総面積１k㎡当たり）	km	2012
n284	主要道路実延長（総面積１k㎡当たり）	km	2012
n285	主要道路舗装率（対主要道路実延長）	％	2012
n286	市町村道舗装率（対市町村道実延長）	％	2012
n287	保有自動車数（人口千人当たり）	台	2013
n288	自家用乗用車数（人口千人当たり）	台	2013
n289	市街化調整区域面積比率（対都市計画区域指定面積）	％	2011
n290	住居専用地域面積比率（対用途地域面積）	％	2011
n291	工業専用地域面積比率（対用途地域面積）	％	2011
n292	都市公園面積（人口１人当たり）	㎡	2012
n293	都市公園数（可住地面積100k㎡当たり）	所	2012
n294	有訴者率（人口千人当たり）	－	2010
n295	通院者率（人口千人当たり）	－	2010
n296	一般病院年間新入院患者数（人口10万人当たり）	人	2012
n297	一般病院の１日平均外来患者数（人口10万人当たり）	人	2012
n298	一般病院の１日平均在院患者数（人口10万人当たり）	人	2012
n299	標準化死亡率〔基準人口＝昭和５年〕（人口千人当たり）	－	2010
n300	平均余命［０歳・男］	年	2010
n301	平均余命［０歳・女］	年	2010
n302	平均余命［65歳・男］	年	2010
n303	平均余命［65歳・女］	年	2010
n304	生活習慣病による死亡者数（人口10万人当たり）	人	2013
n305	悪性新生物による死亡者数（人口10万人当たり）	人	2013
n306	糖尿病による死亡者数（人口10万人当たり）	人	2013
n307	高血圧性疾患による死亡者数（人口10万人当たり）	人	2013
n308	心疾患［高血圧性を除く］による死亡者数（人口10万人当たり）	人	2013
n309	脳血管疾患による死亡者数（人口10万人当たり）	人	2013
n310	妊娠，分娩及び産じょくによる死亡率（産科的破傷風を含まない）（出産数10万当たり）	－	2013
n311	死産率（死産数/（出生数＋死産数））（出産数千当たり）	－	2013
n312	周産期死亡率（（死産数（妊娠22週以後）＋早期新生児死亡数）／出生数）１）	－	2013
n313	新生児死亡率（新生児死亡数／出生数）（出生数千当たり）	－	2013
n314	乳児死亡率（乳児死亡数／出生数）（出生数千当たり）	－	2013
n315	2,500ｇ未満出生率（2,500ｇ未満の出生数／出生数）１）	－	2013
n316	平均身長（中学２年・男）	cm	2013
n317	平均身長（中学２年・女）	cm	2013
n318	平均体重（中学２年・男）	kg	2013
n319	平均体重（中学２年・女）	kg	2013
n320	一般病院数（人口10万人当たり）	施設	2012
n321	一般診療所数（人口10万人当たり）	施設	2012
n322	精神科病院数（人口10万人当たり）	施設	2012
n323	歯科診療所数（人口10万人当たり）	施設	2012
n324	一般病院数（可住地面積100k㎡当たり）	施設	2012
n325	一般診療所数（可住地面積100k㎡当たり）	施設	2012
n326	歯科診療所数（可住地面積100k㎡当たり）	施設	2012
n327	一般病院病床数（人口10万人当たり）	床	2012
n328	精神病床数（人口10万人当たり）	床	2012
n329	介護療養型医療施設数（65歳以上人口10万人当たり）	所	2012
n330	医療施設に従事する医師数（人口10万人当たり）	人	2012
n331	医療施設に従事する歯科医師数（人口10万人当たり）	人	2012
n332	医療施設に従事する看護師・准看護師数（人口10万人当たり）	人	2012
n333	一般病院常勤医師数（100病床当たり）	人	2012
n334	一般病院看護師・准看護師数（100病床当たり）	人	2012
n335	一般病院外来患者数（常勤医師１人１日当たり）	人	2012
n336	一般病院在院患者数（常勤医師１人１日当たり）	人	2012
n337	一般病院在院患者数（看護師・准看護師１人１日当たり）	人	2012
n338	一般病院病床利用率（在院患者延べ数／一般病床延べ数）	％	2012
n339	一般病院平均在院日数（入院患者１人当たり）	日	2012
n340	保健師数（人口10万人当たり）	人	2012
n341	救急告示病院・一般診療所数（人口10万人当たり）	施設	2011
n342	救急自動車数（人口10万人当たり）	台	2013
n343	年間救急出場件数（人口千人当たり）	件	2012
n344	薬局数（人口10万人当たり）	所	2012
n345	薬局数（可住地面積100k㎡当たり）	所	2012
n346	医薬品販売業数（人口10万人当たり）	所	2012
n347	医薬品販売業数（可住地面積100k㎡当たり）	所	2012
n348	生活保護被保護実人員（人口千人当たり）	人	2012
n349	生活保護教育扶助人員（人口千人当たり）	人	2012
n350	生活保護医療扶助人員（人口千人当たり）	人	2012
n351	生活保護住宅扶助人員（人口千人当たり）	人	2012
n352	生活保護介護扶助人員（人口千人当たり）	人	2012
n353	生活保護被保護高齢者数（65歳以上人口千人当たり）	人	2011
n354	身体障害者手帳交付数（人口千人当たり）	人	2012
n355	保護施設数（医療保護施設を除く）（生活保護被保護実人員10万人当たり）	所	2012
n356	老人ホーム数（65歳以上人口10万人当たり）	所	2012
n357	老人福祉センター数（65歳以上人口10万人当たり）	所	2012
n358	介護老人福祉施設数（65歳以上人口10万人当たり）	所	2012
n359	児童福祉施設数（人口10万人当たり）	所	2012
n360	生活保護施設定員数（生活保護被保護実人員千人当たり）	人	2012
n361	生活保護施設在所者数（生活保護被保護実人員千人当たり）	人	2012
n362	老人ホーム定員数（65歳以上人口千人当たり）	人	2012
n363	老人ホーム在所者数（65歳以上人口千人当たり）	人	2012
n364	民生委員（児童委員）数（人口10万人当たり）	人	2012
n365	母子自立支援員数（人口10万人当たり）	人	2013
n366	訪問介護利用者数（訪問介護１事業所当たり）	人	2012
n367	民生委員（児童委員）相談・支援件数１）	件	2012
n368	児童相談所受付件数（人口千人当たり）	件	2012
n369	１人当たりの国民医療費	円	2011
n370	後期高齢者医療費（被保険者１人当たり）	円	2012
n371	国民年金被保険者数［第１号］（20～59歳人口千人当たり）	人	2012
n372	国民年金被保険者数［第３号］（20～59歳人口千人当たり）	人	2012
n373	国民健康保険被保険者数（人口千人当たり）	人	2012
n374	国民健康保険受診率（被保険者千人当たり）	－	2012
n375	国民健康保険診療費（被保険者１人当たり）	円	2012
n376	全国健康保険協会管掌健康保険加入者数（人口千人当たり）	人	2012
n377	全国健康保険協会管掌健康保険受診率（被保険者千人当たり）	－	2012
n378	全国健康保険協会管掌健康保険受診率（被扶養者千人当たり）	－	2012
n379	全国健康保険協会管掌健康保険医療費（被保険者１人当たり）	円	2012
n380	全国健康保険協会管掌健康保険医療費（被扶養者１人当たり）	円	2012
n381	雇用保険受給率（対被保険者数）	％	2012
n382	労働者災害補償保険給付率（対適用労働者数）	％	2012
n383	労働災害発生の頻度	－	2012
n384	労働災害の重さの程度	－	2012
n385	消防署数（可住地面積100k㎡当たり）	署	2013
n386	消防団・分団数（可住地面積100k㎡当たり）	団	2013
n387	消防ポンプ自動車等現有数（人口10万人当たり）	台	2013
n388	消防水利数（人口10万人当たり）	所	2013
n389	消防吏員数（人口10万人当たり）	人	2013
n390	消防機関出動回数（人口10万人当たり）	回	2012
n391	火災のための消防機関出動回数（人口10万人当たり）	回	2012
n392	火災出火件数（人口10万人当たり）	件	2012
n393	建物火災出火件数（人口10万人当たり）	件	2012
n394	火災死傷者数（人口10万人当たり）	人	2012
n395	火災死傷者数（建物火災100件当たり）	人	2012
n396	建物火災損害額（人口１人当たり）	円	2012
n397	建物火災損害額（建物火災１件当たり）	万円	2012
n398	立体横断施設数（道路実延長千km当たり）	所	2012
n399	横断歩道数（道路実延長千km当たり）	本	2012
n400	信号機設置数（道路実延長千km当たり）	基	2012
n401	交通事故発生件数（道路実延長千km当たり）	件	2012
n402	交通事故発生件数（人口10万人当たり）	件	2013
n403	交通事故死傷者数（人口10万人当たり）	人	2013
n404	交通事故死者数（人口10万人当たり）	人	2013
n405	道路交通法違反検挙件数（人口千人当たり）	件	2012
n406	警察署・交番・駐在所数（可住地面積100k㎡当たり）	所	2013
n407	警察官数（人口千人当たり）	人	2013
n408	刑法犯認知件数（人口千人当たり）	件	2012
n409	窃盗犯認知件数（人口千人当たり）	件	2012
n410	刑法犯検挙率（認知件数１件当たり）	％	2012
n411	窃盗犯検挙率（認知件数１件当たり）	％	2012
n412	災害被害額（人口１人当たり）	円	2012
n413	不慮の事故による死亡者数（人口10万人当たり）	人	2013
n414	公害苦情件数（人口10万人当たり）	件	2012
n415	ばい煙発生施設数	件	2012
n416	一般粉じん発生施設数	件	2012
n417	水質汚濁防止法上の特定事業場数	件	2011
n418	民間生命保険保有契約件数（人口千人当たり）	件	2013
n419	民間生命保険保険金額（保有契約１件当たり）	万円	2013
n420	民間生命保険保険金額（１世帯当たり）	万円	2013
n421	火災保険住宅物件・一般物件新契約件数（一般世帯千世帯当たり）	件	2012
n422	火災保険住宅物件・一般物件受取保険金額（保有契約１件当たり）	万円	2012
n423	実収入（１世帯当たり１か月間）［勤労者世帯］	千円	2013
n424	世帯主収入（１世帯当たり１か月間）［勤労者世帯］	千円	2013
n425	消費支出（１世帯当たり１か月間）［二人以上の世帯］	千円	2013
n426	食料費割合（対消費支出）［二人以上の世帯］	％	2013
n427	住居費割合（対消費支出）［二人以上の世帯］	％	2013
n428	光熱・水道費割合（対消費支出）［二人以上の世帯］	％	2013
n429	家具・家事用品費割合（対消費支出）［二人以上の世帯］	％	2013
n430	被服及び履物費割合（対消費支出）［二人以上の世帯］	％	2013
n431	保健医療費割合（対消費支出）［二人以上の世帯］	％	2013
n432	交通・通信費割合（対消費支出）［二人以上の世帯］	％	2013
n433	教育費割合（対消費支出）［二人以上の世帯］	％	2013
n434	教養娯楽費割合（対消費支出）［二人以上の世帯］	％	2013
n435	平均消費性向（消費支出／可処分所得）［勤労者世帯］	％	2013
n436	貯蓄現在高（１世帯当たり）［二人以上の世帯］	千円	2009
n437	預貯金現在高割合（対貯蓄現在高）［二人以上の世帯］	％	2009
n438	生命保険現在高割合（対貯蓄現在高）［二人以上の世帯］	％	2009
n439	有価証券現在高割合（対貯蓄現在高）［二人以上の世帯］	％	2009
n440	負債現在高（１世帯当たり）［二人以上の世帯］	千円	2009
n441	住宅・土地のための負債割合（対負債現在高）［二人以上の世帯］	％	2009
n442	自動車所有数量（千世帯当たり）［二人以上の世帯］	台	2009
n443	電子レンジ（電子オーブンレンジを含む）所有数量（千世帯当たり）［二人以上の世帯］	台	2009
n444	ルームエアコン所有数量（千世帯当たり）［二人以上の世帯］	台	2009
n445	ステレオセットまたはCD・MDラジオカセット所有数量（千世帯当たり）［二人以上の世帯］	台	2009
n446	ピアノ所有数量（千世帯当たり）［二人以上の世帯］	台	2009
n447	携帯電話（PHSを含む）所有数量（千世帯当たり）［二人以上の世帯］	台	2009
n448	パソコン所有数量（千世帯当たり）［二人以上の世帯］	台	2009
n449	脳血管疾患（男）		2001
n450	脳血管疾患（男）		2002
n451	脳血管疾患（男）		2003
n452	脳血管疾患（女）		2001
n453	脳血管疾患（女）		2002
n454	脳血管疾患（女）		2003
n455	心疾患（男）		2001
n456	心疾患（男）		2002
n457	心疾患（男）		2003
n458	心疾患（女）		2001
n459	心疾患（女）		2002
n460	心疾患（女）		2003
n461	糖尿病（男）		2001
n462	糖尿病（男）		2002
n463	糖尿病（男）		2003
n464	糖尿病（女）		2001
n465	糖尿病（女）		2002
n466	糖尿病（女）		2003
n467	胃がん（男）		2001
n468	胃がん（男）		2002
n469	胃がん（男）		2003
n470	胃がん（女）		2001
n471	胃がん（女）		2002
n472	胃がん（女）		2003
n473	肺がん（男）		2001
n474	肺がん（男）		2002
n475	肺がん（男）		2003
n476	肺がん（女）		2001
n477	肺がん（女）		2002
n478	肺がん（女）		2003
n479	大腸がん（男）		2001
n480	大腸がん（男）		2002
n481	大腸がん（男）		2003
n482	大腸がん（女）		2001
n483	大腸がん（女）		2002
n484	大腸がん（女）		2003
n485	肝がん（男）		2001
n486	肝がん（男）		2002
n487	肝がん（男）		2003
n488	肝がん（女）		2001
n489	肝がん（女）		2002
n490	肝がん（女）		2003
n491	子宮がん（女）		2001
n492	子宮がん（女）		2002
n493	子宮がん（女）		2003
n494	乳がん（女）		2001
n495	乳がん（女）		2002
n496	乳がん（女）		2003
n497	前立腺がん（男）		2001
n498	前立腺がん（男）		2002
n499	前立腺がん（男）		2003
n500	肺炎（男）		2001
n501	肺炎（男）		2002
n502	肺炎（男）		2003
n503	肺炎（女）		2001
n504	肺炎（女）		2002
n505	肺炎（女）		2003
n506	BMIの平均値（男）		2012
n507	BMIの平均値（女）		2012
